answer|answerValue|victory|guesses|values|rounds
aback|3453|true|cares, aitch, amuck, alack, aback|11687, 4262, 2871, 0, 3453|5
abase|5151|true|cares, anise, amuse, abase|11687, 5260, 4569, 0|4
abate|5501|true|cares, aline, azote, amate, abate|11687, 6011, 5129, 0, 5501|5
abbey|5677|true|cares, ailed, axmen, apeek, abbey|11687, 7009, 4826, 0, 5677|5
abbot|3177|true|cares, aunty, aloft, adbot, abbot|11687, 6056, 4263, 3184, 3177|5
abhor|2819|true|cares, algor, abhor|11687, 3924, 2819|3
abide|4778|true|cares, aline, axite, amide, abide|11687, 6011, 5249, 4907, 4778|5
abled|5521|true|cares, ailed, abled|11687, 7009, 5521|3
abode|4698|true|cares, aline, azote, apode, abode|11687, 6011, 5129, 4893, 4698|5
abort|4063|true|cares, azury, aport, amort, abort|11687, 4277, 4258, 4192, 4063|5
about|3675|true|cares, aunty, about|11687, 6056, 3675|3
above|4360|false|cares, aline, azote, apode, awoke, agoge|11687, 6011, 5129, 4893, 4826, 4648|6
abuse|4440|true|cares, anise, amuse, abuse|11687, 5260, 4569, 4440|4
abyss|5898|true|cares, aunts, aidos, amyls, abyss|11687, 8385, 7752, 6273, 5898|5
acorn|3862|true|cares, acorn|11687, 3862|2
acrid|4434|true|cares, acrid|11687, 4434|2
actor|3536|true|cares, actor|11687, 3536|2
acute|4909|true|cares, acute|11687, 4909|2
adage|4970|true|cares, aline, azote, awave, apage, adage|11687, 6011, 5129, 0, 5158, 4970|6
adapt|3973|true|cares, aunty, aloft, aight, adapt|11687, 6056, 4263, 4137, 3973|5
adept|3489|true|cares, ahent, aleft, adept|11687, 4577, 4085, 3489|4
admin|3252|true|cares, aunty, aloin, admin|11687, 6056, 4713, 3252|4
admit|3572|true|cares, aunty, aloft, aight, await, admit|11687, 6056, 4263, 4137, 4646, 3572|6
adobe|4432|true|cares, aline, azote, apode, adobe|11687, 6011, 5129, 4893, 4432|5
adopt|3667|true|cares, aunty, aloft, adopt|11687, 6056, 4263, 3667|4
adore|5036|true|cares, alure, afire, adore|11687, 5427, 5044, 5036|4
adorn|3750|true|cares, azury, aport, abord, adorn|11687, 4277, 4258, 4024, 3750|5
adult|3727|true|cares, aunty, adult|11687, 6056, 3727|3
affix|2229|true|cares, aunty, ahold, amiga, affix|11687, 6056, 4679, 0, 2229|5
afire|5044|true|cares, alure, afire|11687, 5427, 5044|3
afoot|3957|true|cares, aunty, aloft, afoot|11687, 6056, 4263, 0|4
afoul|3262|true|cares, aunty, aloud, afoul|11687, 6056, 4439, 3262|4
after|5167|true|cares, aimer, auger, alter, apter, after|11687, 6565, 6212, 6035, 5427, 5167|6
again|4207|true|cares, aunty, aloin, admin, again|11687, 6056, 4713, 3252, 4207|5
agape|4923|true|cares, aline, azote, awave, apage, agape|11687, 6011, 5129, 0, 5158, 4923|6
agate|5492|true|cares, aline, azote, amate, abate, agate|11687, 6011, 5129, 0, 5501, 5492|6
agent|3975|true|cares, ahent, ament, agent|11687, 4577, 4113, 3975|4
agile|5162|true|cares, aline, agile|11687, 6011, 5162|3
aging|3437|false|cares, aunty, ahind, amino, aping, awing|11687, 6056, 4796, 3838, 3641, 3556|6
aglow|2837|true|cares, aunty, ahold, ablow, allow, aglow|11687, 6056, 4679, 2846, 3649, 2837|6
agony|4838|true|cares, aunty, agony|11687, 6056, 4838|3
agora|3818|true|cares, azury, aport, abord, agora|11687, 4277, 4258, 4024, 3818|5
agree|6918|true|cares, aired, arret, agree|11687, 7410, 0, 0|4
ahead|4805|true|cares, ahent, aheap, ahead|11687, 4577, 0, 0|4
aider|6458|true|cares, aimer, aider|11687, 6565, 6458|3
aisle|5955|true|cares, aisle|11687, 5955|2
alarm|4416|true|cares, azury, aport, awarn, alarm|11687, 4277, 4258, 0, 4416|5
album|2877|true|cares, aunty, aloud, almug, album|11687, 6056, 4439, 3017, 2877|5
alert|4688|true|cares, aiery, alert|11687, 6058, 4688|3
algae|5392|false|cares, aline, alowe, allee, albee, alate|11687, 6011, 5114, 0, 6761, 6304|6
alibi|3653|true|cares, aunty, ahold, alibi|11687, 6056, 4679, 0|4
alien|6400|true|cares, ailed, alien|11687, 7009, 6400|3
align|4254|true|cares, aunty, aloin, align|11687, 6056, 4713, 4254|4
alike|5599|true|cares, aline, alike|11687, 6011, 5599|3
alive|5243|true|cares, aline, alike, alive|11687, 6011, 5599, 5243|4
allay|5640|true|cares, aunty, amply, alway, allay|11687, 6056, 4124, 0, 5640|5
alley|7048|true|cares, ailed, agley, alley|11687, 7009, 6236, 0|4
allot|4548|true|cares, aunty, aloft, allot|11687, 6056, 4263, 0|4
allow|3649|true|cares, aunty, ahold, aloof, allow|11687, 6056, 4679, 0, 3649|5
alloy|5233|true|cares, aunty, amply, alway, allay, alloy|11687, 6056, 4124, 0, 5640, 5233|6
aloft|4263|true|cares, aunty, aloft|11687, 6056, 4263|3
alone|5931|true|cares, aline, alone|11687, 6011, 5931|3
along|4169|true|cares, aunty, ahind, along|11687, 6056, 4796, 4169|4
aloof|3953|true|cares, aunty, ahold, aloof|11687, 6056, 4679, 0|4
aloud|4439|true|cares, aunty, aloud|11687, 6056, 4439|3
